"","species_name","genus","tribe","haplochromine","water_system","lm_ecology","mouthbrooder","depth","piscivore"
"Divandu albimarginatus","Divandu albimarginatus","Divandu","Chromidotilapiini","Other","Riverine","not_applicable","maternal_mouthbrooder","pelagic","non-piscivore"
"Parananochromis caudifasciatus","Parananochromis caudifasciatus","Parananochromis","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Chromidotilapia kingsleyae","Chromidotilapia kingsleyae","Chromidotilapia","Chromidotilapiini","Other","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Teleogramma brichardi","Teleogramma brichardi","Teleogramma","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Teleogramma depressum","Teleogramma depressum","Teleogramma","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Teleogramma gracile","Teleogramma gracile","Teleogramma","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Teleogramma monogramma","Teleogramma monogramma","Teleogramma","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Teleogramma obamaorum","Teleogramma obamaorum","Teleogramma","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Limbochromis robertsi","Limbochromis robertsi","Limbochromis","Chromidotilapiini","Other","Riverine","not_applicable","biparental_mouthbrooder","demersal","non-piscivore"
"Nanochromis parilus","Nanochromis parilus","Nanochromis","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Nanochromis nudiceps","Nanochromis nudiceps","Nanochromis","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Nanochromis consortus","Nanochromis consortus","Nanochromis","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Nanochromis splendens","Nanochromis splendens","Nanochromis","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Nanochromis transvestitus","Nanochromis transvestitus","Nanochromis","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Nanochromis wickleri","Nanochromis wickleri","Nanochromis","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Congochromis squamiceps","Congochromis squamiceps","Congochromis","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Chromidotilapia cavalliensis","Chromidotilapia cavalliensis","Chromidotilapia","Chromidotilapiini","Other","Riverine","not_applicable","paternal_mouthbrooder","demersal","non-piscivore"
"Chromidotilapia guntheri","Chromidotilapia guntheri","Chromidotilapia","Chromidotilapiini","Other","Riverine","not_applicable","paternal_mouthbrooder","benthopelagic","non-piscivore"
"Benitochromis batesii","Benitochromis batesii","Benitochromis","Chromidotilapiini","Other","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Pelvicachromis pulcher","Pelvicachromis pulcher","Pelvicachromis","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Pelvicachromis taeniatus","Pelvicachromis taeniatus","Pelvicachromis","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Pelvicachromis roloffi","Pelvicachromis roloffi","Pelvicachromis","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Hemichromis letourneuxi","Hemichromis letourneuxi","Hemichromis","Hemichromini","Other","Riverine","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Anomalochromis thomasi","Anomalochromis thomasi","Anomalochromis","Hemichromini","Other","Riverine","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Pelmatochromis nigrofasciatus","Pelmatochromis nigrofasciatus","Pelmatochromis","Pelmatochromini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Pelmatochromis buettikoferi","Pelmatochromis buettikoferi","Pelmatochromis","Pelmatochromini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Coptodon zillii","Coptodon zillii","Coptodon","Coptodonini","Other","Riverine","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Coptodon guineensis","Coptodon guineensis","Coptodon","Coptodonini","Other","Riverine","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Coptodon discolor","Coptodon discolor","Coptodon","Coptodonini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Coptodon dageti","Coptodon dageti","Coptodon","Coptodonini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Coptodon tholloni","Coptodon tholloni","Coptodon","Coptodonini","Other","Riverine","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Coptodon rendalli","Coptodon rendalli","Coptodon","Coptodonini","Other","Riverine","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Benthochromis horii","Benthochromis horii","Benthochromis","Benthochromini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","pelagic","non-piscivore"
"Benthochromis melanoides","Benthochromis melanoides","Benthochromis","Benthochromini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","pelagic","non-piscivore"
"Benthochromis tricoti","Benthochromis tricoti","Benthochromis","Benthochromini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","pelagic","non-piscivore"
"Xenochromis hecqui","Xenochromis hecqui","Xenochromis","Perissodini","Other","Lake Tanganyika","not_applicable","data_deficient","pelagic","piscivore"
"Plecodus straeleni","Plecodus straeleni","Plecodus","Perissodini","Other","Lake Tanganyika","not_applicable","biparental_mouthbrooder","demersal","piscivore"
"Perissodus microlepis","Perissodus microlepis","Perissodus","Perissodini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","pelagic","piscivore"
"Perissodus eccentricus","Perissodus eccentricus","Perissodus","Perissodini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","pelagic","piscivore"
"Plecodus multidentatus","Plecodus multidentatus","Plecodus","Perissodini","Other","Lake Tanganyika","not_applicable","biparental_mouthbrooder","demersal","piscivore"
"Plecodus elaviae","Plecodus elaviae","Plecodus","Perissodini","Other","Lake Tanganyika","not_applicable","biparental_mouthbrooder","demersal","piscivore"
"Plecodus paradoxus","Plecodus paradoxus","Plecodus","Perissodini","Other","Lake Tanganyika","not_applicable","biparental_mouthbrooder","demersal","piscivore"
"Haplotaxodon microlepis","Haplotaxodon microlepis","Haplotaxodon","Perissodini","Other","Lake Tanganyika","not_applicable","biparental_mouthbrooder","pelagic","non-piscivore"
"Cyprichromis zonatus","Cyprichromis zonatus","Cyprichromis","Cyprichromini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","demersal","non-piscivore"
"Cyprichromis pavo","Cyprichromis pavo","Cyprichromis","Cyprichromini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","demersal","non-piscivore"
"Cyprichromis coloratus","Cyprichromis coloratus","Cyprichromis","Cyprichromini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","pelagic","non-piscivore"
"Cyprichromis leptosoma","Cyprichromis leptosoma","Cyprichromis","Cyprichromini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Cyprichromis microlepidotus","Cyprichromis microlepidotus","Cyprichromis","Cyprichromini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","pelagic","non-piscivore"
"Paracyprichromis brieni","Paracyprichromis brieni","Paracyprichromis","Cyprichromini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","pelagic","non-piscivore"
"Paracyprichromis nigripinnis","Paracyprichromis nigripinnis","Paracyprichromis","Cyprichromini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Callochromis pleurospilus","Callochromis pleurospilus","Callochromis","Ectodini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Callochromis melanostigma","Callochromis melanostigma","Callochromis","Ectodini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Callochromis macrops","Callochromis macrops","Callochromis","Ectodini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Ectodus descampsii","Ectodus descampsii","Ectodus","Ectodini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Cunningtonia longiventralis","Cunningtonia longiventralis","Cunningtonia","Ectodini","Other","Lake Tanganyika","not_applicable","data_deficient","benthopelagic","non-piscivore"
"Aulonocranus dewindti","Aulonocranus dewindti","Aulonocranus","Ectodini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Lestradea perspicax","Lestradea perspicax","Lestradea","Ectodini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","pelagic","non-piscivore"
"Cardiopharynx schoutedeni","Cardiopharynx schoutedeni","Cardiopharynx","Ectodini","Other","Lake Tanganyika","not_applicable","data_deficient","pelagic","non-piscivore"
"Ophthalmotilapia heterodonta","Ophthalmotilapia heterodonta","Ophthalmotilapia","Ectodini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","demersal","non-piscivore"
"Ophthalmotilapia ventralis","Ophthalmotilapia ventralis","Ophthalmotilapia","Ectodini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Ophthalmotilapia nasuta","Ophthalmotilapia nasuta","Ophthalmotilapia","Ectodini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Ophthalmotilapia boops","Ophthalmotilapia boops","Ophthalmotilapia","Ectodini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","demersal","non-piscivore"
"Cyathopharynx furcifer","Cyathopharynx furcifer","Cyathopharynx","Ectodini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Xenotilapia papilio","Xenotilapia papilio","Xenotilapia","Ectodini","Other","Lake Tanganyika","not_applicable","biparental_mouthbrooder","demersal","non-piscivore"
"Xenotilapia boulengeri","Xenotilapia boulengeri","Xenotilapia","Ectodini","Other","Lake Tanganyika","not_applicable","biparental_mouthbrooder","demersal","non-piscivore"
"Xenotilapia sima","Xenotilapia sima","Xenotilapia","Ectodini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","demersal","non-piscivore"
"Enantiopus melanogenys","Enantiopus melanogenys","Enantiopus","Ectodini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","demersal","non-piscivore"
"Xenotilapia flavipinnis","Xenotilapia flavipinnis","Xenotilapia","Ectodini","Other","Lake Tanganyika","not_applicable","biparental_mouthbrooder","demersal","non-piscivore"
"Xenotilapia ochrogenys","Xenotilapia ochrogenys","Xenotilapia","Ectodini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","demersal","non-piscivore"
"Xenotilapia singularis","Xenotilapia singularis","Xenotilapia","Ectodini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","demersal","non-piscivore"
"Xenotilapia leptura","Xenotilapia leptura","Xenotilapia","Ectodini","Other","Lake Tanganyika","not_applicable","biparental_mouthbrooder","demersal","non-piscivore"
"Xenotilapia nigrolabiata","Xenotilapia nigrolabiata","Xenotilapia","Ectodini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","demersal","non-piscivore"
"Xenotilapia ornatipinnis","Xenotilapia ornatipinnis","Xenotilapia","Ectodini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","demersal","non-piscivore"
"Xenotilapia nasus","Xenotilapia nasus","Xenotilapia","Ectodini","Other","Lake Tanganyika","not_applicable","data_deficient","demersal","non-piscivore"
"Xenotilapia caudafasciata","Xenotilapia caudafasciata","Xenotilapia","Ectodini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","demersal","non-piscivore"
"Xenotilapia longispinis","Xenotilapia longispinis","Xenotilapia","Ectodini","Other","Lake Tanganyika","not_applicable","biparental_mouthbrooder","demersal","non-piscivore"
"Grammatotria lemairii","Grammatotria lemairii","Grammatotria","Ectodini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Limnochromis auritus","Limnochromis auritus","Limnochromis","Limnochromini","Other","Lake Tanganyika","not_applicable","biparental_mouthbrooder","demersal","non-piscivore"
"Baileychromis centropomoides","Baileychromis centropomoides","Baileychromis","Limnochromini","Other","Lake Tanganyika","not_applicable","data_deficient","pelagic","non-piscivore"
"Reganochromis calliurus","Reganochromis calliurus","Reganochromis","Limnochromini","Other","Lake Tanganyika","not_applicable","data_deficient","benthopelagic","non-piscivore"
"Gnathochromis permaxillaris","Gnathochromis permaxillaris","Gnathochromis","Limnochromini","Other","Lake Tanganyika","not_applicable","biparental_mouthbrooder","demersal","non-piscivore"
"Limnochromis abeelei","Limnochromis abeelei","Limnochromis","Limnochromini","Other","Lake Tanganyika","not_applicable","biparental_mouthbrooder","demersal","non-piscivore"
"Limnochromis staneri","Limnochromis staneri","Limnochromis","Limnochromini","Other","Lake Tanganyika","not_applicable","biparental_mouthbrooder","demersal","non-piscivore"
"Greenwoodochromis bellcrossi","Greenwoodochromis bellcrossi","Greenwoodochromis","Limnochromini","Other","Lake Tanganyika","not_applicable","biparental_mouthbrooder","pelagic","non-piscivore"
"Greenwoodochromis christyi","Greenwoodochromis christyi","Greenwoodochromis","Limnochromini","Other","Lake Tanganyika","not_applicable","biparental_mouthbrooder","pelagic","non-piscivore"
"Tangachromis dhanisi","Tangachromis dhanisi","Tangachromis","Limnochromini","Other","Lake Tanganyika","not_applicable","data_deficient","benthopelagic","non-piscivore"
"Triglachromis otostigma","Triglachromis otostigma","Triglachromis","Limnochromini","Other","Lake Tanganyika","not_applicable","data_deficient","demersal","non-piscivore"
"Cyphotilapia frontosa","Cyphotilapia frontosa","Cyphotilapia","Cyphotilapiini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","benthopelagic","piscivore"
"Trematochromis benthicola","Trematochromis benthicola","Trematochromis","Trematocarini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Orthochromis malagaraziensis","Orthochromis malagaraziensis","Orthochromis","Basal Haplochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Orthochromis mazimeroensis","Orthochromis mazimeroensis","Orthochromis","Basal Haplochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Orthochromis luichensis","Orthochromis luichensis","Orthochromis","Basal Haplochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Astatotilapia stappersii","Astatotilapia stappersii","Astatotilapia","Haplochromini","Haplochromine","Lake Tanganyika","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Haplochromis labiatus","Haplochromis labiatus","Haplochromis","Haplochromini","Haplochromine","Lake Victoria","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Haplochromis mentatus","Haplochromis mentatus","Haplochromis","Haplochromini","Haplochromine","Lake Victoria","not_applicable","maternal_mouthbrooder","benthopelagic","piscivore"
"Haplochromis welcommei","Haplochromis welcommei","Haplochromis","Haplochromini","Haplochromine","Lake Victoria","not_applicable","maternal_mouthbrooder","benthopelagic","piscivore"
"Haplochromis estor","Haplochromis estor","Haplochromis","Haplochromini","Haplochromine","Lake Victoria","not_applicable","maternal_mouthbrooder","benthopelagic","piscivore"
"Haplochromis fusiformis","Haplochromis fusiformis","Haplochromis","Haplochromini","Haplochromine","Lake Victoria","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Haplochromis dolichorhynchus","Haplochromis dolichorhynchus","Haplochromis","Haplochromini","Haplochromine","Lake Victoria","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Haplochromis sulphureus","Haplochromis sulphureus","Haplochromis","Haplochromini","Haplochromine","Lake Victoria","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Haplochromis orthostoma","Haplochromis orthostoma","Haplochromis","Haplochromini","Haplochromine","Lake Victoria","not_applicable","maternal_mouthbrooder","benthopelagic","piscivore"
"Haplochromis beadlei","Haplochromis beadlei","Haplochromis","Haplochromini","Haplochromine","Lake Victoria","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Haplochromis aelocephalus","Haplochromis aelocephalus","Haplochromis","Haplochromini","Haplochromine","Lake Victoria","not_applicable","maternal_mouthbrooder","benthopelagic","piscivore"
"Mbipia mbipi","Mbipia mbipi","Mbipia","Haplochromini","Haplochromine","Lake Victoria","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Haplochromis lividus","Haplochromis lividus","Haplochromis","Haplochromini","Haplochromine","Lake Victoria","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Haplochromis obliquidens","Haplochromis obliquidens","Haplochromis","Haplochromini","Haplochromine","Lake Victoria","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Haplochromis maxillaris","Haplochromis maxillaris","Haplochromis","Haplochromini","Haplochromine","Lake Victoria","not_applicable","maternal_mouthbrooder","benthopelagic","piscivore"
"Haplochromis melanopterus","Haplochromis melanopterus","Haplochromis","Haplochromini","Haplochromine","Lake Victoria","not_applicable","maternal_mouthbrooder","benthopelagic","piscivore"
"Haplochromis cryptodon","Haplochromis cryptodon","Haplochromis","Haplochromini","Haplochromine","Lake Victoria","not_applicable","maternal_mouthbrooder","benthopelagic","piscivore"
"Haplochromis microdon","Haplochromis microdon","Haplochromis","Haplochromini","Haplochromine","Lake Victoria","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Haplochromis nubilus","Haplochromis nubilus","Haplochromis","Haplochromini","Haplochromine","Lake Victoria","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Haplochromis pappenheimi","Haplochromis pappenheimi","Haplochromis","Haplochromini","Haplochromine","Lake Victoria","not_applicable","maternal_mouthbrooder","pelagic","non-piscivore"
"Haplochromis loati","Haplochromis loati","Haplochromis","Haplochromini","Haplochromine","Lake Victoria","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Haplochromis astatodon","Haplochromis astatodon","Haplochromis","Haplochromini","Haplochromine","Lake Victoria","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Haplochromis paucidens","Haplochromis paucidens","Haplochromis","Haplochromini","Haplochromine","Lake Victoria","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Haplochromis limax","Haplochromis limax","Haplochromis","Haplochromini","Haplochromine","Lake Victoria","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Astatotilapia burtoni","Astatotilapia burtoni","Astatotilapia","Haplochromini","Haplochromine","Lake Tanganyika","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Astatotilapia gigliolii","Astatotilapia gigliolii","Astatotilapia","Basal Modern Haplochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Astatotilapia bloyeti","Astatotilapia bloyeti","Astatotilapia","Basal Modern Haplochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Rhamphochromis woodi","Rhamphochromis woodi","Rhamphochromis","Haplochromini","Haplochromine","Lake Malawi","Rhamphochromis","maternal_mouthbrooder","pelagic","piscivore"
"Rhamphochromis esox","Rhamphochromis esox","Rhamphochromis","Haplochromini","Haplochromine","Lake Malawi","Rhamphochromis","maternal_mouthbrooder","pelagic","piscivore"
"Rhamphochromis ferox","Rhamphochromis ferox","Rhamphochromis","Haplochromini","Haplochromine","Lake Malawi","Rhamphochromis","maternal_mouthbrooder","pelagic","piscivore"
"Rhamphochromis longiceps","Rhamphochromis longiceps","Rhamphochromis","Haplochromini","Haplochromine","Lake Malawi","Rhamphochromis","maternal_mouthbrooder","pelagic","piscivore"
"Diplotaxodon limnothrissa","Diplotaxodon limnothrissa","Diplotaxodon","Haplochromini","Haplochromine","Lake Malawi","Diplotaxodon","maternal_mouthbrooder","pelagic","non-piscivore"
"Diplotaxodon ecclesi","Diplotaxodon ecclesi","Diplotaxodon","Haplochromini","Haplochromine","Lake Malawi","Diplotaxodon","maternal_mouthbrooder","pelagic","piscivore"
"Diplotaxodon macrops","Diplotaxodon macrops","Diplotaxodon","Haplochromini","Haplochromine","Lake Malawi","Diplotaxodon","maternal_mouthbrooder","pelagic","non-piscivore"
"Diplotaxodon argenteus","Diplotaxodon argenteus","Diplotaxodon","Haplochromini","Haplochromine","Lake Malawi","Diplotaxodon","maternal_mouthbrooder","pelagic","piscivore"
"Diplotaxodon greenwoodi","Diplotaxodon greenwoodi","Diplotaxodon","Haplochromini","Haplochromine","Lake Malawi","Diplotaxodon","maternal_mouthbrooder","pelagic","piscivore"
"Diplotaxodon aeneus","Diplotaxodon aeneus","Diplotaxodon","Haplochromini","Haplochromine","Lake Malawi","Diplotaxodon","maternal_mouthbrooder","pelagic","non-piscivore"
"Pallidochromis tokolosh","Pallidochromis tokolosh","Pallidochromis","Haplochromini","Haplochromine","Lake Malawi","Diplotaxodon","maternal_mouthbrooder","pelagic","piscivore"
"Aulonocara trematocephalum","Aulonocara trematocephalum","Aulonocara","Haplochromini","Haplochromine","Lake Malawi","Deep Benthic","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Mylochromis obtusus","Mylochromis obtusus","Mylochromis","Haplochromini","Haplochromine","Lake Malawi","Shallow Benthic","maternal_mouthbrooder","demersal","non-piscivore"
"Placidochromis milomo","Placidochromis milomo","Placidochromis","Haplochromini","Haplochromine","Lake Malawi","Shallow Benthic","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Placidochromis hennydaviesae","Placidochromis hennydaviesae","Placidochromis","Haplochromini","Haplochromine","Lake Malawi","Shallow Benthic","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Otopharynx pachycheilus","Otopharynx pachycheilus","Otopharynx","Haplochromini","Haplochromine","Lake Malawi","Shallow Benthic","maternal_mouthbrooder","demersal","non-piscivore"
"Alticorpus macrocleithrum","Alticorpus macrocleithrum","Alticorpus","Haplochromini","Haplochromine","Lake Malawi","Deep Benthic","maternal_mouthbrooder","pelagic","piscivore"
"Sciaenochromis ahli","Sciaenochromis ahli","Sciaenochromis","Haplochromini","Haplochromine","Lake Malawi","Mbuna","maternal_mouthbrooder","benthopelagic","piscivore"
"Stigmatochromis modestus","Stigmatochromis modestus","Stigmatochromis","Haplochromini","Haplochromine","Lake Malawi","Shallow Benthic","maternal_mouthbrooder","demersal","piscivore"
