"","precaudal_count","caudal_count","total_count","ln_pc_ln_c","ln_length_ln_width","ln_ant_length_ln_width","ln_post_length_ln_width","species_name"
"Divandu albimarginatus","2.54493868054315","2.58347635049997","3.25809653802148","-0.0385376699568143","0.992914444","-0.15367390025","0.62462491375","Divandu albimarginatus"
"Chromidotilapia kingsleyae","2.56365919756592","2.60683647215712","3.27936834584605","-0.0431772745911938","0.939682142","-0.11678387652381","0.570953726285714","Chromidotilapia kingsleyae"
"Teleogramma brichardi","2.57977095189228","2.9829089499571","3.49492304375729","-0.403137998064822","1.74400205473684","0.345344673578947","1.46427597442105","Teleogramma brichardi"
"Teleogramma depressum","2.61586140736282","2.99506731471387","3.51703980617217","-0.379205907351043","2.20231890572","0.6953878086","1.95176434848","Teleogramma depressum"
"Teleogramma gracile","2.64967161753633","2.95211687623508","3.5056577541465","-0.302445258698757","1.99108305153846","0.602140152461539","1.70553178857692","Teleogramma gracile"
"Teleogramma monogramma","2.58674581985969","3.01280508854214","3.51577014376821","-0.426059268682446","1.95657641173333","0.587128241533333","1.66486330046667","Teleogramma monogramma"
"Teleogramma obamaorum","2.51492266516558","3.02012735563871","3.4925462671935","-0.505204690473131","1.589922910625","0.30861891175","1.272715380875","Teleogramma obamaorum"
"Nanochromis nudiceps","2.63735229605967","2.75107588186059","3.38989686443693","-0.113723585800923","1.14828714733333","-0.0609144343333333","0.819114659333333","Nanochromis nudiceps"
"Nanochromis transvestitus","2.54311952809603","2.58516062259437","3.25809653802148","-0.0420410944983431","1.23244757190909","0.119865803636364","0.853125565363636","Nanochromis transvestitus"
"Congochromis squamiceps","2.62423573518451","2.56257546325361","3.28801426364537","0.0616602719309034","1.0911716616","-0.1508432692","0.755664696","Congochromis squamiceps"
"Chromidotilapia cavalliensis","2.56494935746154","2.484906649788","3.2188758248682","0.0800427076735364","1.001185526","-0.0390294955","0.575299054","Chromidotilapia cavalliensis"
"Chromidotilapia guntheri","2.59380856357705","2.60986327997894","3.29567340007113","-0.0160547164018983","0.914331702","-0.1582585003125","0.50928696340625","Chromidotilapia guntheri"
"Benitochromis batesii","2.5026939181599","2.63025476596854","3.26228990779735","-0.12756084780864","0.897462036555556","-0.241377210222222","0.530290918333333","Benitochromis batesii"
"Pelvicachromis subocellatus","2.56494935746154","2.6020033435384","3.27696670201291","-0.0370539860768608","0.8711278405","-0.3598942675","0.5438663835","Pelvicachromis subocellatus"
"Pelvicachromis taeniatus","2.58347635049997","2.62053033657683","3.29583686600433","-0.0370539860768613","1.10959821375","-0.16837500525","0.79108393725","Pelvicachromis taeniatus"
"Pelvicachromis roloffi","2.56494935746154","2.56494935746154","3.25809653802148","0","0.959937409","-0.339394342","0.647707007","Pelvicachromis roloffi"
"Anomalochromis thomasi","2.48821191824007","2.57206341790092","3.2245988037045","-0.0838514996608506","0.77214426815","-0.3748539975","0.40092719705","Anomalochromis thomasi"
"Pterochromis congicus","2.52492800362477","2.6020033435384","3.25809653802148","-0.077075339913629","0.6999191665","-0.461539662","0.3254709895","Pterochromis congicus"
"Pelmatochromis nigrofasciatus","2.57252416153197","2.55539630821783","3.25793205078032","0.0171278533141397","0.749905360111111","-0.404563096111111","0.393016726222222","Pelmatochromis nigrofasciatus"
"Pelmatochromis buettikoferi","2.62423573518451","2.56494935746154","3.28828880040776","0.0592863777229775","0.7539982328","-0.4090303208","0.3945429448","Pelmatochromis buettikoferi"
"Pelmatochromis ocellifer","2.56494935746154","2.56494935746154","3.25809653802148","0","0.7683175075","-0.4134846195","0.416432877","Pelmatochromis ocellifer"
"Coptodon zillii","2.68735233965612","2.64595661676395","3.36027756602422","0.0413957228921711","0.774178938","-0.3778275456","0.4215632865","Coptodon zillii"
"Coptodon guineensis","2.63905732961526","2.63905732961526","3.3322045101752","0","0.757437361","-0.475873955","0.460755072","Coptodon guineensis"
"Coptodon discolor","2.70805020110221","2.56494935746154","3.3322045101752","0.143100843640673","0.7687822075","-0.378631027","0.430593087","Coptodon discolor"
"Coptodon dageti","2.69080198323047","2.58347635049997","3.3322045101752","0.107325632730505","0.72773608325","-0.393852682","0.36187606225","Coptodon dageti"
"Coptodon tholloni","2.56494935746154","2.63905732961526","3.29583686600433","-0.0741079721537217","0.732003034","-0.414517502","0.379118096","Coptodon tholloni"
"Coptodon rendalli","2.71391733938744","2.62558315286004","3.36410571000363","0.0883341865274074","0.7285852878","-0.4597827469","0.3998410515","Coptodon rendalli"
"Orthochromis malagaraziensis","2.55827913182208","2.87608215443618","3.42305726354415","-0.317803022614102","1.20734751616667","-0.0389133935833333","0.8816637955","Orthochromis malagaraziensis"
"Orthochromis luichensis","2.57977095189228","2.91138040789034","3.45282819857221","-0.33160945599806","1.2722815316","-0.0330293922","0.9703552842","Orthochromis luichensis"
"Orthochromis kalungwishiensis","2.59670991695599","2.943844566263","3.47885813540569","-0.34713464930701","1.23038239514286","-0.0632955181428571","0.919902421285714","Orthochromis kalungwishiensis"
"Serranochromis robustus","2.7887552880575","2.9372300163304","3.55904973442454","-0.148474728272907","1.08144956633333","-0.0386078449333333","0.6918178408","Serranochromis robustus"
"Serranochromis thumbergi","2.89037175789616","2.92641657207635","3.60178492124819","-0.0360448141801837","1.03341633266667","-0.241673439666667","0.713216125","Serranochromis thumbergi"
"Serranochromis angusticeps","2.740319461671","2.91026056680131","3.52229771071371","-0.169941105130313","1.013117694875","-0.107144186625","0.627075399125","Serranochromis angusticeps"
"Serranochromis macrocephalus","2.72693937001621","2.912991216102","3.5178911871645","-0.186051846085797","1.12914627568085","0.0545568717659574","0.720706850489362","Serranochromis macrocephalus"
"Serranochromis longimanus","2.75645409195539","2.8475029475162","3.49650756146648","-0.0910488555608149","0.9515312195","-0.197711144","0.5748662055","Serranochromis longimanus"
"Serranochromis stappersi","2.83321334405622","2.83321334405622","3.52636052461616","0","0.900702467","-0.356563614","0.572724088","Serranochromis stappersi"
"Serranochromis meridianus","2.70805020110221","2.89037175789616","3.49650756146648","-0.182321556793954","0.961231914","-0.169513091","0.577955059","Serranochromis meridianus"
"Pharyngochromis acuticeps","2.70805020110221","2.84273974636287","3.47086451257752","-0.134689545260664","1.0942372625","0.0168078696666667","0.694106091","Pharyngochromis acuticeps"
"Sargochromis carlottae","2.67355376535873","2.81300513678407","3.43927865420424","-0.139451371425337","0.922385797666667","-0.239287188","0.558099275666667","Sargochromis carlottae"
"Sargochromis mellandi","2.6268767553336","2.83030309006685","3.42715007502705","-0.203426334733255","1.07558474692","-0.02060379302","0.68248329648","Sargochromis mellandi"
"Sargochromis mortimeri","2.70805020110221","2.83321334405622","3.46573590279973","-0.125163142954006","1.005474617","-0.070416274","0.619994379","Sargochromis mortimeri"
"Sargochromis codringtonii","2.73151875424315","2.84297556330412","3.48243162210452","-0.111456809060973","0.956341778454545","-0.256157868363636","0.622370257181818","Sargochromis codringtonii"
"Thoracochromis albolabris","2.56494935746154","2.94443897916644","3.46573590279973","-0.379489621704904","1.018515896","-0.083111551","0.649032673","Thoracochromis albolabris"
"Neolamprologus devosi","2.61788362328562","2.94404270389748","3.48771565899026","-0.326159080611856","1.340844139","0.101313252142857","1.00665819171429","Neolamprologus devosi"
"Gobiocichla ethelwynnae","2.92305571239686","2.79257328989685","3.55354174653306","0.130482422500009","1.95347222060714","0.452935168074074","1.69944628122222","Gobiocichla ethelwynnae"
"Gobiocichla wonderi","2.87586135496691","2.8780131266244","3.57035530038358","-0.00215177165748681","1.75808344992","0.42669229012","1.4543220846","Gobiocichla wonderi"
"Steatocranus irvinei","2.83321334405622","2.70805020110221","3.46573590279973","0.125163142954006","1.2721086615","-0.060648654","0.9774100455","Steatocranus irvinei"
"Etia nguti","2.58965201484611","2.54493868054315","3.26124156535339","0.044713334302958","0.789566982416667","-0.266063293333333","0.38889054825","Etia nguti"
"Chilochromis duponti","2.70677872328176","2.68532351810265","3.39027313149857","0.0214552051791044","0.945333481057692","-0.228032077634615","0.591890800576923","Chilochromis duponti"
"Tilapia guinasana","2.51401308894201","2.61210897610481","3.25809653802148","-0.0980958871628004","0.71785279025","-0.340130267714286","0.452927984285714","Tilapia guinasana"
"Tilapia sparrmanii","2.58273450855999","2.63713916686522","3.30475719157055","-0.0544046583052293","0.811344050857143","-0.398790072571429","0.475198836428571","Tilapia sparrmanii"
"Steatocranus rouxi","2.68444737664615","2.78823357803454","3.431234146182","-0.103786201388395","1.35162081205882","0.0317795154117647","1.04714754664706","Steatocranus rouxi"
"Steatocranus gibbiceps","2.66080835958266","2.76433632704533","3.40756828053365","-0.103527967462669","1.24722989617073","0.0151662464634146","0.906175543439024","Steatocranus gibbiceps"
"Steatocranus glaber","2.69942609216634","2.7322521465288","3.4093948373679","-0.0328260543624581","1.267268908625","-0.012545937875","0.9473157045","Steatocranus glaber"
"Steatocranus mpozoensis","2.70760476606727","2.7778684045572","3.43684973696408","-0.0702636384899251","1.3031639576","-0.0497065948","1.0146687975","Steatocranus mpozoensis"
"Steatocranus tinanti","2.70491416148917","2.83305578914819","3.46420104541469","-0.128141627659027","1.54993450415789","0.263290414789474","1.23056048252632","Steatocranus tinanti"
"Steatocranus casuarius","2.71701545553047","2.70175472494481","3.40303932214196","0.0152607305856596","1.13290017312121","-0.121362462606061","0.809204623151515","Steatocranus casuarius"
"Steatocranus ubanguiensis","2.63905732961526","2.70805020110221","3.36729582998647","-0.0689928714869517","1.174087032","-0.218473254","0.893213165","Steatocranus ubanguiensis"
"Pelmatolapia mariae","2.66205495344424","2.63735229605967","3.34390161677896","0.0247026573845739","0.785709524","-0.280590965","0.3757037035","Pelmatolapia mariae"
"Iranocichla hormuzensis","2.70805020110221","2.63905732961526","3.36729582998647","0.0689928714869517","0.9856783605","-0.084459552","0.5942274765","Iranocichla hormuzensis"
"Oreochromis mortimeri","2.72741175744348","2.67355376535873","3.39441707132702","0.0538579920847471","0.9417815069","-0.1646058613","0.5638208545","Oreochromis mortimeri"
"Oreochromis shiranus","2.67355376535873","2.740319461671","3.40119738166216","-0.0667656963122614","0.9476603685","-0.2734688125","0.6170307475","Oreochromis shiranus"
"Oreochromis malagarasi","2.70805020110221","2.63735229605967","3.36689924060794","0.0706979050425418","0.762137242333333","-0.352463119","0.396106158","Oreochromis malagarasi"
"Oreochromis macrochir","2.70805020110221","2.77258872223978","3.43398720448515","-0.0645385211375711","0.819060591","-0.445072939","0.508246412","Oreochromis macrochir"
"Oreochromis leucostictus","2.63905732961526","2.63905732961526","3.3322045101752","0","0.85203741275","-0.39194844975","0.52370802475","Oreochromis leucostictus"
"Oreochromis niloticus","2.71763797117801","2.69043078736802","3.39769702101905","0.027207183809987","0.7811178301","-0.3809123963","0.428272643","Oreochromis niloticus"
"Sarotherodon galilaeus","2.71450405321597","2.6380343094819","3.37056700834048","0.0764697437340627","0.6842220349","-0.4881760358","0.3418132251","Sarotherodon galilaeus"
"Pungu maclareni","2.70805020110221","2.63905732961526","3.36729582998647","0.0689928714869517","0.87853404","-0.270181108","0.503440377","Pungu maclareni"
"Sarotherodon melanotheron","2.63905732961526","2.56494935746154","3.29583686600433","0.0741079721537217","0.8479337506","-0.203118497","0.4685504748","Sarotherodon melanotheron"
"Tylochromis jentinki","2.70805020110221","2.77258872223978","3.43398720448515","-0.0645385211375711","0.826467135","-0.346839376","0.483344594","Tylochromis jentinki"
"Heterochromis multidens","2.57112502180768","2.63288166526911","3.29583686600433","-0.0617566434614343","0.80688732275","-0.20515100875","0.375797441333333","Heterochromis multidens"
